Malm Kelp	Crayfish	Chub	Merlthor Goby	Lominsan Anchovy
Striped Goby	Dwarf Catfish	Finger Shrimp	Bone Crayfish	White Coral
Princess Trout	Ocean Cloud	Dusk Goby	Sea Cucumber	Harbor Herring
Pipira	Crimson Crayfish	Vongola Clam	Gudgeon	Coral Butterfly
Brass Loach	Moraby Flounder	Maiden Carp	Abalathian Smelt	Blindfish
Pebble Crab	Mudskipper	Rainbow Trout	River Crab	Tiger Cod
Ala Mhigan Fighting Fish	Helmet Crab	Faerie Bass	Acorn Snail	Rothlyt Oyster
Dark Sleeper	La Noscean Perch	Navigator's Dagger	Moat Carp	Angelfish
Copperfish	Bluebell Salmon	Razor Clam	Mudcrab	Blue Octopus
Tri-Colored Carp	Eunuch Crayfish	Jade Eel	Blowfish	Pond Mussel
Warmwater Trout	Glass Perch	Four-eyed Fish	Saber Sardine	Black Eel
Dark Bass	Blue Coral	Ogre Barracuda	Aegis Shrimp	Five-ilm Pleco
Monkfish	Sea Bo	Climbing Perch	Shadow Catfish	Bianaq Bream
Black Ghost	Black Sole	Lamprey	Plaguefish	Hammerhead Shark
Yugr'am Salmon	Sea Pickle	Spotted Pleco	Lamp Marimo	Indigo Herring
Ropefish	Ash Tuna	Grip Killifish	Bone Cleaner	Root Skipper
Leafy Seadragon	Bonytongue	Fullmoon Sardine	Mitten Crab	Haraldr Haddock
Monke Onke	Seema	Whitelip Oyster	Sandfish	Silverfish
Clown Loach	Sand Bream	Lavender Remora	Armored Pleco	Giant Bass
Desert Catfish	Balloonfish	Velodyna Carp	Spotted Puffer	Dustfish
Golden Loach	Storm Rider	Trader Eel	Crimson Trout	Discus
Antlion Slug	Red Coral	Bronze Lake Trout	Ignus Snail	Dune Manta
Silver Shark	Loyal Pleco	Thunderbolt Sculpin	Fall Jumper	Knifefish
Wahoo	Raincaller	Oakroot	Common Sculpin	Blacklip Oyster
Southern Pike	Northern Pike	Kobold Puffer	Nautilus	Archerfish
Cloud Jellyfish	Goblin Perch	Agelyss Carp	Pike Eel	Assassin Betta
Sludgeskipper	Skyfish	Mummer Wrasse	Cloud Cutter	Boltfish
Garpike	Blind Manta	Plaice	Ilsabardian Bass	Paglth'an Discus
Boxing Pleco	Rift Sailor	Sea Devil	Kissing Trout	Angry Pike
Goldfish	Sagolii Monkfish	Saucerfish	Rock Lobster	Vampire Lampern
Wandering Sculpin	Goosefish	Cave Cherax	Coeurlfish	Little Thalaos
Shall Shell	Giant Donko	Sundisc	Mahi-Mahi	Halibut
Alligator Garfish	Wootz Knifefish	Giant Catfish	Caravan Eel	Mazlaya Marlin
Coelacanth	Cadaver Carp	Rhamphorhynchus	Giant Squid	Gigant Octopus
Sunfish	Dinichthys	Mushroom Crab	Judgment Staff	Poxpike
Emperor Fish	Bowfin	Heliobatis	Megalodon	Titanic Sawfish
Takitaro	Pirarucu	Morinabaligi	Jungle Catfish	Tiny Tortoise
Gigantpole	Zalera	Beguiler Chub	Oschon's Print	Caterwauler
Crystal Perch	Moldva	Junkmonger	Goldenfin	Gigantshark
Armorer	Great Gudgeon	Dark Knight	Silver Sovereign	Sabertooth Cod
Dream Goby	Navigator's Brand	Dark Ambusher	Judgeray	Bloody Brewer
Faerie Queen	Slime King	Blue Widow	Ghost Carp	Carp Diem
Mud Pilgrim	Old Softie	Marrow Sucker	Chirurgeon	Mud Golem
Octomammoth	Matron Carp	High Perch	Syldra	Rivet Oyster
Jacques the Snipper	Stormdancer	Glimmerscale	Cupfish	Meteor Survivor
Joan of Trout	Toramafish	Fingers	The Assassin	Vip Viper
The Greatest Bream in the World	Dirty Herry	Old Hollow Eyes	Sylphsbane	Floating Boulder
The Grinner	Shark Tuna	Worm of Nym	Twitchbeard	The Warden's Wand
Spearnose	Levinlight	The Sinker	The Gobfather	Sweetnewt
Bombardfish	The Salter	The Lone Ripper	King of the Spring	Discobolus
Iron Noose	Olgoi-Khorkhoi	Magic Carpet	Daniffen's Mark	Charon's Lantern
The Green Jester	Bloodbath	Son of Levin	Thundergut	The Drowned Sniper
The Terpsichorean	Mirrorscale	Helmsman's Hand	The Thousand-year Itch	Hannibal
Dawn Maiden	Starbright	The Matriarch	Shadowstreak	The Captain's Chalice
Anomalocaris	Frilled Shark	Aetherlouse	Imperial Goldfish	The Old Man in the Sea
Nepto Dragon	Coelacanthus	Endoceras	Seahag	Ignus Horn
Void Bass	Cornelia	Ninja Betta	Canavan	Kuno the Killer
Pirate's Bane	Ndendecki	Bat-o'-Nine-Tails	Wootz Knifefish Zenith	Helicoprion
Darkstar	Blue Corpse	Mahar	Shonisaurus	Magicked Mushroom
Giant Takitaro	Namitaro	Blood Red Bonytongue	Gigant Clam	Icepick (Heavensward Fish)
Cloud Coral	Ice Faerie	Skyworm	Coerthan Crab	Fanged Clam
Lake Urchin	Whilom Catfish	Blueclaw Shrimp	Starflower	Glacier Core
Ogre Horn Snail	Sorcerer Fish	Hotrod	Maiboi	Three-lip Carp
Bullfrog	Cloudfish	Mahu Wai	Rock Mussel	Bouyant Oviform
Whiteloom	Blue Cloud Coral	Seema Patrician	Ammonite	Bubble Eye
Grass Carp	Pipira Pira	Dravanian Squeaker	Kissing Fish	Mitre Slug
Lava Crab	Storm Core	Scholar Sculpin	Gigant Grouper	Vanuhead
Marble Oscar	Lungfish	Tigerfish	Sky Faerie	Granite Crab
Aithon's Colt	Shipworm	Hedgemole Cricket	Mogpom	Magma Tree
Cloud Rider	Dravanian Bass	Coerthan Puffer	Snowcaller	Dragonhead
Mercy Staff	Rime Eater	Warmwater Bichir	Noontide Oscar	Shadowhisker
Gobbie Mask	Blue Medusa	Cindersmith	Bullwhip	Tiny Axolotl
High Allagan Helmet	Platinum Fish	Aether Eye	Azysfish	Crystalfish
Sweetfish	Orn Butterfly	Hundred Fin	Autumn Leaf	Manasail
Sky Sweeper	Magma Louse	Cometoise	Aetherochemical Compound 123	Brown Bolo
Philosopher's Stone	Fountfish	Weston Bowfish	Letter Puffer	Star Faerie
Gloaming Coral	Albino Octopus	Dragon's Soul	Tornado Shark	Warballoon
Fossiltongue	Proto-hropken	Caiman	Euphotic Pirarucu	Illuminati Perch
Rudderfish	Bomb Puffer	Mucous Minnow	Unidentified Flying Biomass	Hospitalier Fish
